COUNTRY,YEAR,Instability_Index_lag1_Predicted,Best_EWS_Model,Crisis_Probability,Risk_Level,Early_Warning_Flag,GDP_Growth,Instability_Index,Instability_Index_lag1_IMF_Projection,Stability_Category,Crisis_Flag,Prediction_Correct
"Gambia, The",2024,41.62360260865032,Extra Trees,0.2529242330041365,Low,0,5.551,30.351704184931137,41.62360260865032,Moderate,0,1
Belgium,2024,43.98204549202408,Extra Trees,0.2451213600840484,Low,0,1.071,22.40393722816446,43.98204549202408,Moderate,0,1
Sierra Leone,2024,41.24683355912804,Extra Trees,0.2379052518260732,Low,0,4.293,27.567405796680937,41.24683355912804,Moderate,0,1
Luxembourg,2024,42.97882929668986,Extra Trees,0.2364565687840604,Low,0,0.359,25.83966505240874,42.97882929668986,Moderate,0,1
Canada,2024,53.08144948791658,Extra Trees,0.2244508230355122,Low,0,2.046,31.284061387298216,53.08144948791658,Moderate,0,1
Guinea-Bissau,2024,29.857203956788474,Extra Trees,0.2202707892680497,Low,0,4.8,20.802101718103486,29.857203956788474,Moderate,0,1
Nigeria,2024,40.03190210159767,Extra Trees,0.2193787006986101,Low,0,4.071,47.700063627503454,40.03190210159767,Unstable,0,1
Djibouti,2024,28.73886026059276,Extra Trees,0.2178510394540495,Low,0,6.98,22.53859912499703,28.73886026059276,Moderate,0,1
Bulgaria,2024,32.23455148408406,Extra Trees,0.2129614844342778,Low,0,3.387,24.178528747363085,32.23455148408406,Moderate,0,1
Namibia,2024,38.32093195043573,Extra Trees,0.2110937977908028,Low,0,3.712,17.799223438790595,38.32093195043573,Moderate,0,1
Peru,2024,48.47272724810242,Extra Trees,0.2105841931766962,Low,0,3.514,30.951113221947075,48.47272724810242,Moderate,0,1
Dominican Republic,2024,48.21582836557432,Extra Trees,0.2066135327785969,Low,0,4.954,21.16936562217026,48.21582836557432,Moderate,0,1
Ecuador,2024,42.21466232738043,Extra Trees,0.2010413340716072,Low,0,-1.944,39.96064417685875,42.21466232738043,Unstable,0,1
Australia,2024,46.38655133831782,Extra Trees,0.1987557848715701,Low,0,1.004,32.007286609241696,46.38655133831782,Moderate,0,1
Rwanda,2024,37.23779574892373,Extra Trees,0.1947993217407722,Low,0,7.207,21.580424734169725,37.23779574892373,Moderate,0,1
"Egypt, Arab Republic of",2024,34.389746505219115,Extra Trees,0.1868626363549923,Low,0,2.399,40.41185877938866,34.389746505219115,Unstable,0,1
"Comoros, Union of the",2024,33.617989962639264,Extra Trees,0.1802258935769398,Low,0,3.339,24.983142253571657,33.617989962639264,Moderate,0,1
"Iran, Islamic Republic of",2024,44.7197692996429,Extra Trees,0.1718425206700413,Low,0,3.663,28.939304847206877,44.7197692996429,Moderate,0,1
Japan,2024,50.42121569851224,Extra Trees,0.1643881041827524,Low,0,-0.242,39.72295450709556,50.42121569851224,Unstable,0,1
Panama,2024,39.49859381868031,Extra Trees,0.1626361285557462,Low,0,2.748,38.14279329564235,39.49859381868031,Unstable,0,1
Tunisia,2024,37.4049409232006,Extra Trees,0.1620891336209051,Low,0,1.636,31.08659849997593,37.4049409232006,Moderate,0,1
Niger,2024,28.133238477115984,Extra Trees,0.1615256160585095,Low,0,10.3,52.61837077624391,28.133238477115984,Unstable,0,1
Romania,2024,39.10015348159886,Extra Trees,0.1552055991723643,Low,0,0.916,32.6629190490373,39.10015348159886,Moderate,0,1
"Congo, Democratic Republic of the",2024,21.97017058724369,Extra Trees,0.1457697612171879,Low,0,6.064,16.797449685626294,21.97017058724369,Stable,0,1
Papua New Guinea,2024,39.27230254942607,Extra Trees,0.135129356390495,Low,0,3.888,31.020199012394563,39.27230254942607,Moderate,0,1
Morocco,2024,33.344541976750016,Extra Trees,0.132085385170903,Low,0,3.793,26.398070870842208,33.344541976750016,Moderate,0,1
Finland,2024,43.54820670422561,Extra Trees,0.1258217019020767,Low,0,0.375,24.070161032196527,43.54820670422561,Moderate,0,1
Sweden,2024,37.18312252128717,Extra Trees,0.1160629758300948,Low,0,1.018,25.80018151152764,37.18312252128717,Moderate,0,1
Barbados,2024,34.77709019283379,Extra Trees,0.1128495739016694,Low,0,3.367,31.42491998119997,34.77709019283379,Moderate,0,1
"China, People's Republic of",2024,27.951168115596563,Extra Trees,0.1059730917722076,Low,0,5.003,23.02079207432662,27.951168115596563,Moderate,0,1
Mali,2024,27.27666733897008,Extra Trees,0.0934762495383805,Low,0,5.017,19.130625522492924,27.27666733897008,Moderate,0,1
Germany,2024,32.46101694882481,Extra Trees,0.0845938930879704,Low,0,-0.496,20.522454834876555,32.46101694882481,Moderate,0,1
Switzerland,2024,37.88650632987871,Extra Trees,0.0761249153870589,Low,0,1.389,16.616591845093108,37.88650632987871,Stable,0,1
Central African Republic,2024,26.23758222588388,Extra Trees,0.0758275249010379,Low,0,3.099,16.320978823859193,26.23758222588388,Stable,0,1
France,2024,32.25936833962951,Extra Trees,0.0648507373536642,Low,0,1.107,25.91711298316641,32.25936833962951,Moderate,0,1
Malaysia,2024,30.97099863747981,Extra Trees,0.0613207989555215,Low,0,5.105,13.343854710728085,30.97099863747981,Stable,0,1
Uganda,2024,21.282495775152427,Extra Trees,0.0580191132477893,Low,0,5.998,13.357585619698298,21.282495775152427,Stable,0,1
South Africa,2024,32.93586556699647,Extra Trees,0.0549692540719412,Low,0,0.535,16.481717077983333,32.93586556699647,Stable,0,1
Togo,2024,34.020689220968485,Extra Trees,0.0521562104863181,Low,0,6.319,26.284387448615995,34.020689220968485,Moderate,0,1
Benin,2024,29.216901758782907,Extra Trees,0.0504379784306736,Low,0,7.453,18.090175367197137,29.216901758782907,Moderate,0,1
Guatemala,2024,34.03041526553579,Extra Trees,0.0485864345661766,Low,0,3.652,24.1147139227001,34.03041526553579,Moderate,0,1
Uruguay,2024,27.74351184699955,Extra Trees,0.0461666274708034,Low,0,3.326,19.99598282255022,27.74351184699955,Moderate,0,1
Côte d'Ivoire,2024,28.21658533360207,Extra Trees,0.0441410710567598,Low,0,6.02,19.498338687736027,28.21658533360207,Moderate,0,1
Taiwan Province of China,2024,19.43489633112573,Extra Trees,0.0417427017851074,Low,0,5.267,33.736109293793234,19.43489633112573,Unstable,0,1
"Madagascar, Republic of",2024,19.55568030332182,Extra Trees,0.0412262799091884,Low,0,4.323,9.002655236785747,19.55568030332182,Stable,0,1
New Zealand,2024,34.29094744287995,Extra Trees,0.0394540094359313,Low,0,-0.287,22.163837064359598,34.29094744287995,Moderate,0,1
"Uzbekistan, Republic of",2024,18.78314587235665,Extra Trees,0.038261960817495,Low,0,6.676,11.745196623922826,18.78314587235665,Stable,0,1
