COUNTRY,YEAR,Linear Regression_Forecast,Elastic Net_Forecast,SVR_Forecast,Random Forest_Forecast,XGBoost_Forecast
Greece,2026,3.0145563572397505,2.9812164711817655,2.426455258565996,2.2066898782470927,2.4630063
Guatemala,2024,4.530915973834653,4.282584803154105,3.779858612498974,3.402337442668315,3.0549023
Guatemala,2025,3.61276222781752,3.564879557579923,3.476793796760279,3.3228869908485037,3.3986237
Guatemala,2026,3.682561859260489,3.6395597892762637,4.144062610931534,3.7745049719740003,4.083523
Guinea,2024,3.8081759455329602,4.218492858929192,5.474459464545138,5.160970900648356,5.4199014
Guinea,2025,3.859406582714591,4.071683900593509,4.86457953998055,4.676863417513477,5.307176
Guinea,2026,3.9024296073265172,4.03133566485833,6.145821146022579,6.126936985852296,7.563215
Guinea-Bissau,2024,3.7237839536384896,3.8519311561081655,4.835525502516556,4.004960963120567,3.0972433
Guinea-Bissau,2025,4.387806392675368,4.191770592101333,4.653703348934752,4.188535025479064,3.9199898
Guinea-Bissau,2026,5.838094022006833,5.436930981946678,6.011476892934236,4.74915744845796,5.652835
Guyana,2024,20.061742014888654,19.123636465019583,4.827323799206766,29.573579396159506,12.835122
Guyana,2025,27.357305337996305,24.88089660421871,4.948227852620386,30.995081386810988,11.846005
Guyana,2026,17.107168907498803,15.473566760277315,7.703158982920291,28.916066748850458,13.884147
Haiti,2024,1.0312121119722306,1.3745951914032446,0.9112436657252814,1.940053347511226,1.8989435
Haiti,2025,0.7806095255680687,1.0898290257552183,1.9760022406162463,1.7674131384407739,2.144608
Haiti,2026,1.7091888530239894,1.8028012188782863,1.5457964997554061,2.111719545452164,1.8740778
Honduras,2024,5.5199996261815425,5.143551132796454,5.132174740878696,3.717416666615192,3.5865984
Honduras,2025,3.826857134270348,3.7653250743179543,3.4463740594852412,3.356792069385336,3.140638
Honduras,2026,3.532714669442912,3.5942141431922914,3.8536864859050963,3.7855165463879468,3.9974926
"Hong Kong Special Administrative Region, People's Republic of China",2024,3.160223589268541,3.2344844730539295,2.9477374067323425,2.1876768628527916,2.8188832
"Hong Kong Special Administrative Region, People's Republic of China",2025,2.594694923990075,2.641528147915462,2.515934372180179,2.2665046341427315,2.343392
"Hong Kong Special Administrative Region, People's Republic of China",2026,2.907263523588151,3.0674479450934533,3.675499253140286,3.4402840666739385,3.981514
Hungary,2024,4.602311396538276,4.200663295445118,3.4555743073519345,2.512365782973754,2.8496187
Hungary,2025,3.7349484662945813,3.613058298556726,2.7399746747330336,1.907823912179883,1.7380929
Hungary,2026,2.2142925542525456,2.3040202684661995,2.0868561645509973,1.8426072401121056,1.7061456
Iceland,2024,5.010483626014741,4.8901372033847235,5.596346077034173,4.584971337669059,4.952752
Iceland,2025,3.350560342493712,3.166006989229973,2.01977119776029,2.8803330292475793,2.5361388
Iceland,2026,2.7300700761144956,2.78630431194446,1.833287622378899,1.9059662445331071,1.5522931
India,2024,5.854772997835276,5.532116041819798,7.345609683040829,6.510176744497944,6.351085
India,2025,5.0557430422272684,4.891620601339535,6.854502230956344,6.434573854393092,6.039495
India,2026,5.391039565482365,5.154705809565866,7.073328101688312,6.5949379297800235,6.1121774
Indonesia,2024,3.5403419624774086,3.6521454569560405,4.378593794639885,4.088074165690895,4.0959773
Indonesia,2025,3.9977445478627454,3.9799368973566147,4.691844142619017,3.940088363502757,3.5531926
Indonesia,2026,4.065514245506549,4.023176257847392,4.8164347082133485,4.110728818843391,4.170251
"Iran, Islamic Republic of",2024,4.109661948251141,4.069200087270844,4.4999643391198605,4.142780241774379,3.57738
"Iran, Islamic Republic of",2025,3.4097510939612174,3.485065410830785,3.8299660124359747,2.9664776734060254,3.427895
"Iran, Islamic Republic of",2026,3.0474216730369355,2.9564146672958054,1.2629153260761692,1.9281676869555702,0.7647414
Ireland,2024,5.261973258573931,4.731180164010139,3.945180396677927,3.2523920127684516,4.7279677
Ireland,2025,4.6325060190098934,4.368109554974271,4.118076028607101,2.991702514488939,2.0804245
