COUNTRY,YEAR,LSTM_Forecast
"Latvia, Republic of",2024,2.10749
"Latvia, Republic of",2025,2.9671519
"Latvia, Republic of",2026,3.0521772
Lebanon,2024,3.222392
Lebanon,2025,2.167954
"Lesotho, Kingdom of",2024,3.220016
"Lesotho, Kingdom of",2025,4.5910854
"Lesotho, Kingdom of",2026,4.411827
Liberia,2024,3.1117573
Liberia,2025,3.0401127
Liberia,2026,3.7688353
Libya,2024,1.7166915
Libya,2025,1.5453203
Libya,2026,2.4193459
"Lithuania, Republic of",2024,1.7523115
"Lithuania, Republic of",2025,3.6860359
"Lithuania, Republic of",2026,4.0300117
Luxembourg,2024,3.152755
Luxembourg,2025,2.817753
Luxembourg,2026,2.3694158
"Madagascar, Republic of",2024,2.7139611
"Madagascar, Republic of",2025,3.6590312
"Madagascar, Republic of",2026,3.7993877
Malawi,2024,1.7512708
Malawi,2025,2.4105928
Malawi,2026,3.370005
Malaysia,2024,3.6458764
Malaysia,2025,4.0723615
Malaysia,2026,4.3612404
Maldives,2024,3.238299
Maldives,2025,3.2862792
Maldives,2026,5.1483965
Mali,2024,4.0798273
Mali,2025,4.7779913
Mali,2026,4.5720663
Malta,2024,4.4577594
Malta,2025,4.5274916
Malta,2026,4.640375
"Mauritania, Islamic Republic of",2024,3.4089994
"Mauritania, Islamic Republic of",2025,4.029737
"Mauritania, Islamic Republic of",2026,4.9332643
Mauritius,2024,3.8708096
Mauritius,2025,4.0559363
Mauritius,2026,4.0671124
Mexico,2024,3.6395206
Mexico,2025,3.2390118
Mexico,2026,3.054456
"Moldova, Republic of",2024,1.7353954
"Moldova, Republic of",2025,0.93636036
"Moldova, Republic of",2026,2.8939652
Mongolia,2024,5.110428
Mongolia,2025,3.8140602
Mongolia,2026,3.894863
Montenegro,2024,3.582368
Montenegro,2025,4.146007
Montenegro,2026,3.3570418
Morocco,2024,3.5899348
Morocco,2025,4.0664635
Morocco,2026,4.7024226
"Mozambique, Republic of",2024,2.2165675
"Mozambique, Republic of",2025,2.5170078
"Mozambique, Republic of",2026,3.189757
Myanmar,2024,2.0567567
Myanmar,2025,1.534739
Myanmar,2026,0.99059844
Namibia,2024,4.2827115
Namibia,2025,4.3288856
Namibia,2026,3.3786497
Nepal,2024,2.574639
Nepal,2025,3.878982
Nepal,2026,4.3199096
"Netherlands, The",2024,3.3947465
"Netherlands, The",2025,3.4290133
"Netherlands, The",2026,3.2867105
New Zealand,2024,3.3035686
New Zealand,2025,2.1357098
New Zealand,2026,1.752912
Nicaragua,2024,3.726473
Nicaragua,2025,3.9227293
Nicaragua,2026,4.4288354
Niger,2024,3.364388
Niger,2025,3.9815838
Niger,2026,4.8923435
Nigeria,2024,2.999396
Nigeria,2025,3.1493142
Nigeria,2026,3.8778458
"North Macedonia, Republic of",2024,3.0488434
"North Macedonia, Republic of",2025,3.6766288
"North Macedonia, Republic of",2026,4.1670556
Norway,2024,2.3051825
Norway,2025,1.808718
Norway,2026,1.654247
Oman,2024,4.6843414
Oman,2025,3.9492397
Oman,2026,3.2389557
Pakistan,2024,3.2544386
Pakistan,2025,3.8948367
Pakistan,2026,4.481072
"Palau, Republic of",2024,-3.338264
"Palau, Republic of",2025,-0.55342054
"Palau, Republic of",2026,2.1057024
Panama,2024,5.0469418
Panama,2025,3.7668707
Panama,2026,4.080176
Papua New Guinea,2024,3.2775426
Papua New Guinea,2025,3.6899402
Papua New Guinea,2026,4.112524
Paraguay,2024,3.2475178
Paraguay,2025,3.2560117
Paraguay,2026,4.142611
Peru,2024,3.133587
Peru,2025,3.4110086
Peru,2026,3.862306
Philippines,2024,4.3107843
Philippines,2025,4.9995227
Philippines,2026,5.3412533
"Poland, Republic of",2024,3.1283715
"Poland, Republic of",2025,3.850472
"Poland, Republic of",2026,4.130293
Portugal,2024,4.6206937
Portugal,2025,4.6204023
Portugal,2026,4.185679
Qatar,2024,3.2055671
Qatar,2025,2.7960367
Qatar,2026,3.062426
Romania,2024,3.3343892
Romania,2025,3.1750567
Romania,2026,3.0564895
Russian Federation,2024,3.3215537
Russian Federation,2025,3.5110486
Russian Federation,2026,3.4464397
Rwanda,2024,5.84411
Rwanda,2025,6.280032
Rwanda,2026,6.5372105
Saudi Arabia,2024,4.7510934
