"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","KOR.NGDP_RPCH.A","OBS_VALUE","Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","9.736","7.990","6.282","-4.939","11.617","9.202","4.726","7.744","3.075","5.184","4.358","5.245","5.842","3.004","0.820","6.982","3.688","2.548","3.291","3.215","2.920","3.172","3.433","3.176","2.314","-0.700","4.613","2.728","1.583"
"IMF.RES:WEO(9.0.0)","TLS.PCPIPCH.A","OBS_VALUE","Timor-Leste, Democratic Republic of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","","","","","","3.589","4.087","8.017","2.210","1.612","5.232","8.639","7.427","-0.209","5.178","13.174","10.935","9.451","0.849","0.646","-1.470","0.523","2.294","0.892","0.488","3.775","7.005","8.420"
"IMF.RES:WEO(9.0.0)","TLS.GGXCNL_NGDP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","3.242","-7.639","-8.238","-7.479","-10.497","41.032","-29.932","-18.562","-17.170","-19.793","-25.380","-38.689","-14.367","-37.522","-33.205","-55.749","-33.775","-26.905","-25.439","-18.899","-20.149","-29.468","-34.727"
"IMF.RES:WEO(9.0.0)","IDN.BCA_NGDPD.A","OBS_VALUE","Indonesia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.784","-2.657","-1.458","3.469","3.400","4.452","3.954","3.676","3.175","1.882","0.513","2.406","1.446","0.022","1.837","0.702","0.189","-2.660","-3.190","-3.088","-2.035","-1.819","-1.595","-2.939","-2.706","-0.419","0.296","1.002","-0.149"
"IMF.RES:WEO(9.0.0)","IND.NGDP_RPCH.A","OBS_VALUE","India","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.574","7.550","4.050","6.184","8.846","3.841","4.824","3.804","7.860","7.923","7.923","8.061","7.661","3.087","7.862","8.498","5.241","5.456","6.386","7.410","7.996","8.256","6.795","6.454","3.871","-5.778","9.690","7.609","9.191"
"IMF.RES:WEO(9.0.0)","IDN.NID_NGDP.A","OBS_VALUE","Indonesia","Gross capital formation, Percent of GDP","Annual","Units","32.399","31.621","32.227","19.227","13.640","25.087","25.315","24.215","28.089","27.358","28.579","28.986","28.736","32.998","31.173","32.880","32.984","35.072","33.831","34.600","34.063","33.859","33.711","34.571","33.780","32.343","31.449","29.745","30.343"
"IMF.RES:WEO(9.0.0)","IND.GGXWDG_NGDP.A","OBS_VALUE","India","Gross debt, General government, Percent of GDP","Annual","Units","70.876","67.133","69.008","69.284","71.267","74.941","80.110","84.304","85.883","84.890","82.378","77.893","75.414","74.341","72.735","67.675","68.699","67.968","67.663","67.111","69.026","68.903","69.667","70.372","75.063","88.432","83.473","82.166","80.723"
"IMF.RES:WEO(9.0.0)","TLS.GGX_NGDP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","95.659","93.545","80.119","74.153","58.335","59.841","75.827","122.353","121.835","121.287","133.278","129.327","96.143","110.971","98.062","112.185","87.272","85.537","68.797","61.711","45.678","59.915","78.614"
"IMF.RES:WEO(9.0.0)","IND.NGSD_NGDP.A","OBS_VALUE","India","Gross national savings, Percent of GDP","Annual","Units","25.711","24.479","26.342","25.228","29.934","25.108","30.610","31.483","33.157","34.748","36.222","37.981","40.658","36.095","36.392","36.928","35.402","33.541","32.286","32.954","31.067","29.547","29.147","30.228","29.230","29.820","30.894","31.618","32.647"
"IMF.RES:WEO(9.0.0)","IND.NID_NGDP.A","OBS_VALUE","India","Gross capital formation, Percent of GDP","Annual","Units","27.348","25.623","27.665","26.186","30.957","25.677","29.910","30.251","30.839","35.096","37.429","38.999","41.951","38.423","39.257","39.785","39.590","38.348","34.024","34.268","32.117","30.172","30.982","32.343","30.096","28.922","32.116","33.619","33.362"
"IMF.RES:WEO(9.0.0)","TLS.GGR_NGDP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","109.206","98.900","85.906","71.881","66.674","47.838","100.873","45.895","103.791","104.665","101.494","107.898","90.638","81.776","73.449","64.858","56.436","53.497","58.632","43.358","42.812","25.530","30.446","43.886"
"IMF.RES:WEO(9.0.0)","IND.LUR.A","OBS_VALUE","India","Unemployment rate","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","8.901","7.484","8.662","7.365","5.300","4.939"
"IMF.RES:WEO(9.0.0)","IDN.TX_RPCH.A","OBS_VALUE","Indonesia","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","8.200","0.900","13.400","15.200","-25.711","17.851","-7.504","-1.242","-0.017","4.950","11.152","2.879","-1.277","10.581","-8.115","11.208","14.422","-1.116","-0.749","0.673","-1.937","3.725","9.465","3.093","-3.452","-8.868","20.265","0.918","4.387"
"IMF.RES:WEO(9.0.0)","IDN.TM_RPCH.A","OBS_VALUE","Indonesia","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","20.270","9.434","0.674","-12.500","-24.103","25.495","-10.439","3.126","4.083","14.818","23.946","-2.312","7.688","17.611","-19.343","17.068","17.759","15.853","0.976","0.541","-6.591","1.019","10.275","14.021","-9.547","-14.475","14.177","8.338","-3.069"
"IMF.RES:WEO(9.0.0)","TLS.NGDP_RPCH.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","","","","16.348","-6.701","-2.182","0.400","2.988","-4.119","10.262","11.391","10.144","9.329","5.956","4.853","3.068","4.527","2.480","3.010","-3.182","-0.467","2.667","-8.492","2.973","3.953","2.375"
"IMF.RES:WEO(9.0.0)","KOR.BCA_NGDPD.A","OBS_VALUE","Korea, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.745","-3.875","-1.832","10.109","4.227","1.703","0.381","0.626","1.552","3.561","1.257","0.191","0.858","0.160","3.366","2.343","1.273","3.654","5.385","5.335","6.829","6.202","4.399","4.246","3.408","4.351","4.388","1.435","1.779"
"IMF.RES:WEO(9.0.0)","IDN.PCPIPCH.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","9.415","7.981","6.237","58.447","20.470","3.688","11.466","11.908","6.791","6.062","10.464","13.099","6.319","9.871","4.804","5.137","5.345","3.979","6.410","6.399","6.360","3.530","3.807","3.291","2.822","2.031","1.561","4.139","3.713"
"IMF.RES:WEO(9.0.0)","IND.TX_RPCH.A","OBS_VALUE","India","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","13.302","5.514","14.030","11.358","7.981","11.398","2.413","17.719","16.239","27.034","17.903","15.956","18.473","7.163","-5.169","27.319","12.775","0.091","4.869","4.267","-4.954","6.672","10.111","4.842","-1.991","-6.380","19.501","9.475","0.498"
"IMF.RES:WEO(9.0.0)","TLS.BCA_NGDPD.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-4.141","-6.635","-9.000","-8.990","14.878","56.700","119.782","215.067","314.906","164.452","180.180","212.852","228.192","171.382","75.566","12.804","-33.191","-17.890","-12.288","21.875","23.811","46.813","12.718","-8.526"
"IMF.RES:WEO(9.0.0)","IND.TM_RPCH.A","OBS_VALUE","India","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","17.507","6.857","13.876","4.603","6.551","2.189","-0.893","12.442","8.525","35.837","16.645","11.499","18.801","3.730","7.319","15.606","10.278","1.588","-3.447","6.348","1.591","4.425","13.124","3.809","-3.665","-13.662","18.954","9.933","-0.852"
"IMF.RES:WEO(9.0.0)","KOR.LUR.A","OBS_VALUE","Korea, Republic of","Unemployment rate","Annual","Units","2.067","2.058","2.617","6.950","6.583","4.425","4.000","3.258","3.550","3.658","3.750","3.475","3.258","3.175","3.633","3.708","3.408","3.225","3.100","3.492","3.592","3.675","3.683","3.833","3.783","3.955","3.675","2.883","2.708"
"IMF.RES:WEO(9.0.0)","IND.PCPIPCH.A","OBS_VALUE","India","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","9.960","9.433","6.845","13.126","3.425","3.817","4.442","4.997","4.096","3.997","3.679","6.736","5.919","9.212","10.607","9.368","8.112","10.049","9.383","5.833","4.908","4.525","3.587","3.414","4.769","6.165","5.506","6.653","5.361"
"IMF.RES:WEO(9.0.0)","IDN.GGX_NGDP.A","OBS_VALUE","Indonesia","Expenditure, General government, Percent of GDP","Annual","Units","11.907","11.508","15.250","15.079","15.140","15.303","19.509","16.929","18.176","17.833","17.398","18.417","18.735","19.394","17.027","16.887","17.714","18.836","18.820","18.365","17.602","16.920","16.444","16.611","16.359","18.427","18.124","17.258","16.637"
"IMF.RES:WEO(9.0.0)","KOR.GGXCNL_NGDP.A","OBS_VALUE","Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","2.160","2.299","2.315","1.091","1.145","3.905","2.420","3.229","1.509","0.086","0.955","1.185","2.494","1.581","0.239","1.606","1.721","1.631","0.789","0.573","0.497","1.563","2.077","2.424","0.351","-2.105","-0.019","-1.492","-0.669"
"IMF.RES:WEO(9.0.0)","KOR.GGR_NGDP.A","OBS_VALUE","Korea, Republic of","Revenue, General government, Percent of GDP","Annual","Units","15.671","16.340","16.189","17.125","17.291","19.926","19.361","19.115","19.377","18.587","19.109","19.900","21.303","20.683","19.778","19.467","20.006","20.453","19.806","19.419","19.297","20.070","20.714","21.702","21.619","21.555","24.078","25.188","22.414"
"IMF.RES:WEO(9.0.0)","IDN.GGXWDG_NGDP.A","OBS_VALUE","Indonesia","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","87.437","73.702","62.339","55.643","51.328","42.612","35.848","38.121","30.252","26.483","26.363","23.106","22.955","24.884","24.645","27.013","27.955","29.396","30.423","30.563","39.747","41.140","40.141","39.601"
"IMF.RES:WEO(9.0.0)","NPL.GGXWDG_NGDP.A","OBS_VALUE","Nepal","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","50.788","50.766","51.815","52.974","51.324","45.133","42.869","37.885","36.757","39.462","35.391","32.425","34.515","31.899","27.551","25.730","24.957","24.989","31.088","34.030","43.307","43.285","42.730","46.962"
"IMF.RES:WEO(9.0.0)","MYS.TX_RPCH.A","OBS_VALUE","Malaysia","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","18.552","8.995","5.279","-0.261","13.664","13.278","-2.658","7.241","7.407","21.797","5.778","6.907","-3.852","-13.055","-10.467","3.622","6.257","-6.492","0.074","6.502","4.050","3.890","7.260","2.125","-0.812","0.401","17.419","9.371","-4.586"
"IMF.RES:WEO(9.0.0)","MDV.GGXWDG_NGDP.A","OBS_VALUE","Maldives","Gross debt, General government, Percent of GDP","Annual","Units","","","38.111","39.260","38.948","39.017","41.845","44.279","37.606","34.674","43.196","36.780","35.824","38.958","48.387","52.748","51.863","57.123","55.949","55.065","54.844","61.880","63.752","70.653","77.203","155.665","123.417","111.623","122.394"
"IMF.RES:WEO(9.0.0)","NPL.NGSD_NGDP.A","OBS_VALUE","Nepal","Gross national savings, Percent of GDP","Annual","Units","18.718","17.834","20.070","19.462","20.265","23.641","23.649","21.152","20.895","23.874","24.941","25.406","25.031","28.980","31.423","31.481","26.976","32.791","32.540","34.984","35.659","33.700","37.002","32.450","34.450","29.428","27.462","25.080","30.270"
"IMF.RES:WEO(9.0.0)","PAK.TM_RPCH.A","OBS_VALUE","Pakistan","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","6.174","18.294","-6.034","-7.533","-0.084","-7.265","5.187","-2.107","8.238","6.643","30.824","21.630","2.907","10.703","-6.900","-2.284","5.672","0.340","1.043","5.193","13.701","12.857","14.990","9.258","-10.162","-13.634","16.931","14.808","-28.821"
"IMF.RES:WEO(9.0.0)","PAK.TX_RPCH.A","OBS_VALUE","Pakistan","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","4.162","1.819","-1.262","8.064","-1.342","12.132","12.579","14.889","14.247","-5.244","15.974","7.594","1.247","-3.278","-2.166","5.810","4.791","-5.905","16.261","0.375","8.201","-5.820","-1.745","5.944","-1.272","-2.755","3.601","5.938","-7.847"
"IMF.RES:WEO(9.0.0)","MDV.BCA_NGDPD.A","OBS_VALUE","Maldives","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.902","-1.412","-5.319","-3.153","-10.435","-6.421","-7.653","-4.297","-2.975","-9.971","-23.467","-19.171","-14.212","-26.863","-9.647","-7.322","-14.819","-6.645","-4.303","-3.656","-7.451","-23.474","-20.695","-27.837","-26.070","-35.072","-8.654","-16.257","-21.171"
"IMF.RES:WEO(9.0.0)","PLW.GGXWDG_NGDP.A","OBS_VALUE","Palau, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","37.107","34.609","33.895","34.842","34.241","30.468","28.629","33.663","32.043","36.599","34.455","30.590","30.755","27.420","27.537","21.690","23.740","26.911","29.541","30.489","52.082","69.945","68.934","76.435"
"IMF.RES:WEO(9.0.0)","LAO.BCA_NGDPD.A","OBS_VALUE","Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.464","-6.260","-5.738","-5.679","-6.805","1.459","-12.260","-9.340","-11.589","-13.873","-15.668","-9.264","-10.386","-15.608","-17.769","-16.482","-15.264","-7.337","-7.834","-14.507","-15.727","-8.708","-7.387","-9.095","-7.030","-1.645","2.329","-3.034","2.695"
"IMF.RES:WEO(9.0.0)","MAC.BCA_NGDPD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","31.529","30.617","32.955","23.653","14.893","21.685","15.562","27.547","38.920","40.383","38.834","39.335","32.706","23.342","26.524","30.765","32.878","33.542","14.805","8.734","13.904","31.395"
"IMF.RES:WEO(9.0.0)","MYS.NGSD_NGDP.A","OBS_VALUE","Malaysia","Gross national savings, Percent of GDP","Annual","Units","34.589","37.901","37.936","41.661","40.279","37.706","34.048","34.546","36.303","36.949","36.886","38.787","38.629","38.559","33.236","33.597","34.197","31.045","29.543","29.485","28.411","28.389","28.338","26.128","24.546","23.824","26.011","26.774","23.901"
"IMF.RES:WEO(9.0.0)","MAC.GGXCNL_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","3.263","2.662","4.799","7.798","8.315","9.741","16.377","17.479","13.365","19.405","24.671","23.981","26.986","24.160","13.817","11.415","13.274","13.326","14.440","-21.410","-12.891","-37.035","1.072"
"IMF.RES:WEO(9.0.0)","LAO.TX_RPCH.A","OBS_VALUE","Lao People's Democratic Republic","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","3.700","0.361","-3.780","4.174","4.472","12.636","-13.731","-4.571","-9.289","5.978","11.734","14.416","7.560","13.660","4.884","16.731","21.667","6.685","10.552","22.155","-4.798","15.443","8.194","12.329","7.760","-3.643","9.000","2.650","14.666"
"IMF.RES:WEO(9.0.0)","MYS.BCA_NGDPD.A","OBS_VALUE","Malaysia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-8.947","-4.062","-5.439","12.117","14.621","8.309","7.211","6.546","11.149","11.099","13.764","15.362","14.663","16.295","14.829","9.941","10.741","5.094","3.435","4.327","2.987","2.393","2.791","2.231","3.498","4.166","3.886","3.188","1.099"
"IMF.RES:WEO(9.0.0)","MYS.GGXWDG_NGDP.A","OBS_VALUE","Malaysia","Gross debt, General government, Percent of GDP","Annual","Units","38.166","32.769","29.620","33.636","34.363","32.518","38.065","39.532","41.393","41.960","40.778","39.662","39.348","39.361","50.408","51.212","51.898","53.788","55.656","55.373","56.971","55.787","54.395","55.646","57.083","67.693","69.162","65.464","69.707"
"IMF.RES:WEO(9.0.0)","LAO.GGX_NGDP.A","OBS_VALUE","Lao People's Democratic Republic","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","19.891","18.846","16.620","16.039","13.569","15.331","14.718","15.108","16.054","20.103","22.402","20.189","24.720","24.240","24.987","25.782","21.085","21.802","20.709","18.621","18.357","15.705","14.727","16.435"
"IMF.RES:WEO(9.0.0)","MAC.PCPIPCH.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","","","","","","","-2.638","-1.560","0.978","4.397","5.153","5.568","8.609","1.172","2.810","5.805","6.103","5.507","6.045","4.560","2.369","1.227","3.006","2.752","0.811","0.028","1.044","0.939"
"IMF.RES:WEO(9.0.0)","MAC.NGDP_RPCH.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","","","","","8.911","11.641","26.632","8.074","13.392","14.476","3.391","1.274","25.123","21.616","9.242","10.753","-2.048","-21.515","-0.679","9.860","6.406","-2.564","-54.336","23.536","-19.609","75.062"
"IMF.RES:WEO(9.0.0)","MYS.PCPIPCH.A","OBS_VALUE","Malaysia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.468","3.479","2.655","5.293","2.731","1.551","1.427","1.793","1.074","1.420","3.039","3.621","2.027","5.429","0.597","1.720","3.183","1.655","2.105","3.143","2.104","2.076","3.799","0.969","0.663","-1.139","2.477","3.379","2.489"
"IMF.RES:WEO(9.0.0)","LAO.NGDP_RPCH.A","OBS_VALUE","Lao People's Democratic Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.045","6.892","6.907","4.279","4.028","6.429","4.772","6.809","6.179","7.187","6.940","8.954","7.851","7.822","7.373","8.018","7.986","7.805","8.026","7.612","7.270","7.023","6.892","6.248","4.652","-0.435","2.061","2.252","3.658"
"IMF.RES:WEO(9.0.0)","KOR.NID_NGDP.A","OBS_VALUE","Korea, Republic of","Gross capital formation, Percent of GDP","Annual","Units","39.344","39.708","37.382","28.128","31.253","33.018","31.867","31.306","32.397","32.685","32.714","33.004","33.249","33.704","29.558","32.779","33.261","31.215","29.899","29.789","29.312","29.982","31.965","31.249","31.196","31.525","32.493","33.325","31.891"
"IMF.RES:WEO(9.0.0)","KOR.TM_RPCH.A","OBS_VALUE","Korea, Republic of","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","23.233","13.816","1.797","-24.586","24.602","22.436","-3.510","15.137","10.603","12.012","7.981","12.614","11.492","3.355","-6.606","17.816","14.575","2.625","1.857","1.367","1.942","5.428","7.922","1.637","-2.019","-3.260","10.187","4.153","3.014"
"IMF.RES:WEO(9.0.0)","LAO.TM_RPCH.A","OBS_VALUE","Lao People's Democratic Republic","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-1.500","15.200","-6.939","-4.031","-0.401","20.588","7.114","-2.158","2.397","31.436","16.360","18.390","16.411","22.439","9.356","13.412","16.694","-22.603","4.652","56.811","17.323","-0.378","0.911","5.235","-1.063","-18.116","-6.885","8.845","13.086"
"IMF.RES:WEO(9.0.0)","MYS.NGDP_RPCH.A","OBS_VALUE","Malaysia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","9.830","10.002","7.327","-7.359","6.131","8.671","0.518","5.391","5.789","6.783","4.976","5.584","6.299","4.832","-1.514","7.528","5.293","5.474","4.694","6.007","5.007","4.450","5.813","4.843","4.413","-5.457","3.315","9.032","3.537"
"IMF.RES:WEO(9.0.0)","MYS.LUR.A","OBS_VALUE","Malaysia","Unemployment rate","Annual","Units","3.143","2.516","2.445","3.225","3.425","3.100","3.675","3.475","3.600","3.550","3.550","3.325","3.225","3.325","3.675","3.300","3.050","3.025","3.100","2.875","3.150","3.450","3.425","3.325","3.275","4.525","4.600","3.900","3.200"
"IMF.RES:WEO(9.0.0)","MAC.GGR_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","20.159","20.087","23.114","23.715","24.449","24.430","28.971","33.166","32.880","36.533","39.853","39.172","38.261","37.260","31.753","30.235","31.921","31.382","32.894","27.910","24.524","20.607","27.217"
"IMF.RES:WEO(9.0.0)","KOR.TX_RPCH.A","OBS_VALUE","Korea, Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","24.026","9.447","18.516","14.703","12.181","17.042","-1.689","12.278","13.443","21.441","7.700","12.408","13.035","7.874","-0.576","13.071","15.556","6.036","3.983","2.111","-0.004","2.451","2.491","3.797","-0.167","-1.664","10.791","3.916","3.411"
"IMF.RES:WEO(9.0.0)","MAC.GGX_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","16.897","17.424","18.315","15.918","16.134","14.689","12.594","15.687","19.515","17.128","15.183","15.191","11.274","13.100","17.936","18.820","18.647","18.056","18.454","49.320","37.415","57.643","26.144"
"IMF.RES:WEO(9.0.0)","MYS.GGXCNL_NGDP.A","OBS_VALUE","Malaysia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","3.103","3.270","4.840","-0.627","-3.003","-6.053","-4.361","-3.960","-4.597","-3.353","-2.833","-2.602","-2.571","-3.405","-5.880","-4.319","-3.568","-3.103","-3.478","-2.628","-2.546","-2.603","-2.412","-2.645","-2.008","-4.902","-6.032","-4.559","-3.971"
"IMF.RES:WEO(9.0.0)","MYS.GGR_NGDP.A","OBS_VALUE","Malaysia","Revenue, General government, Percent of GDP","Annual","Units","25.700","25.660","25.995","22.486","21.640","19.580","23.863","23.184","23.472","22.531","21.705","22.972","23.318","23.515","25.009","22.285","23.520","25.403","24.302","23.329","22.162","20.255","19.631","20.155","21.567","20.139","18.418","20.083","20.941"
"IMF.RES:WEO(9.0.0)","LAO.GGXCNL_NGDP.A","OBS_VALUE","Lao People's Democratic Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","-3.576","-3.683","-2.850","-3.885","-1.811","-2.542","-1.482","-1.123","-1.858","-3.096","-1.469","-1.429","-2.344","-4.031","-3.132","-5.570","-5.060","-5.509","-4.465","-3.203","-5.367","-0.669","0.059","-0.012"
"IMF.RES:WEO(9.0.0)","LAO.GGR_NGDP.A","OBS_VALUE","Lao People's Democratic Republic","Revenue, General government, Percent of GDP","Annual","Units","","","","","","16.315","15.163","13.770","12.154","11.759","12.789","13.236","13.985","14.196","17.008","20.933","18.760","22.376","20.209","21.855","20.212","16.024","16.294","16.244","15.418","12.990","15.036","14.787","16.423"
"IMF.RES:WEO(9.0.0)","MYS.NID_NGDP.A","OBS_VALUE","Malaysia","Gross capital formation, Percent of GDP","Annual","Units","43.523","41.964","43.377","29.539","25.658","29.397","26.838","27.240","25.532","25.850","23.122","23.425","23.966","22.265","18.407","23.657","23.456","25.951","26.108","25.158","25.424","25.996","25.547","23.897","21.048","19.658","22.126","23.586","22.802"
"IMF.RES:WEO(9.0.0)","SGP.NGSD_NGDP.A","OBS_VALUE","Singapore","Gross national savings, Percent of GDP","Annual","Units","50.378","49.667","53.740","53.282","49.895","46.246","42.042","39.951","41.527","42.204","44.767","49.273","50.209","45.243","43.763","50.592","48.910","46.906","45.687","47.380","44.046","44.403","45.880","40.467","39.886","40.306","43.817","40.636","38.932"
"IMF.RES:WEO(9.0.0)","PHL.BCA_NGDPD.A","OBS_VALUE","Philippines","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.339","-4.176","-4.623","2.075","-3.357","-2.663","-2.217","-0.334","0.327","1.710","1.853","5.455","5.175","0.080","4.797","3.445","2.409","2.653","4.010","3.616","2.371","-0.376","-0.652","-2.559","-0.809","3.201","-1.508","-4.516","-2.834"
"IMF.RES:WEO(9.0.0)","PAK.GGX_NGDP.A","OBS_VALUE","Pakistan","Expenditure, General government, Percent of GDP","Annual","Units","13.972","15.021","13.728","14.122","13.236","13.820","12.949","14.365","12.854","12.125","12.954","14.468","16.121","18.035","17.301","18.317","17.923","19.428","19.506","18.094","17.833","17.712","19.128","19.108","19.054","20.296","18.458","19.955","19.290"
"IMF.RES:WEO(9.0.0)","PAK.GGR_NGDP.A","OBS_VALUE","Pakistan","Revenue, General government, Percent of GDP","Annual","Units","10.074","10.687","9.862","9.659","10.167","10.608","10.494","11.728","12.736","10.834","10.667","11.682","11.887","12.098","12.770","12.901","11.689","11.685","12.025","13.725","13.094","13.789","13.957","13.435","11.265","13.265","12.417","12.116","11.534"
"IMF.RES:WEO(9.0.0)","SGP.NGDP_RPCH.A","OBS_VALUE","Singapore","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.175","7.471","8.316","-2.191","5.718","9.038","-1.071","3.923","4.548","9.940","7.366","9.007","9.022","1.863","0.128","14.520","6.215","4.435","4.818","3.936","2.977","3.748","4.477","3.452","1.308","-3.815","9.757","4.108","1.821"
"IMF.RES:WEO(9.0.0)","PLW.GGR_NGDP.A","OBS_VALUE","Palau, Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","43.159","32.868","35.858","45.049","43.725","41.679","45.675","46.985","42.623","40.191","46.507","44.699","44.217","40.669","43.435","40.556","41.111","39.644","43.970","42.355","45.194","55.089","56.755","50.388"
"IMF.RES:WEO(9.0.0)","SGP.NID_NGDP.A","OBS_VALUE","Singapore","Gross capital formation, Percent of GDP","Annual","Units","33.881","35.040","38.170","31.490","32.691","35.174","27.609","25.074","17.225","22.892","21.507","22.379","23.066","30.160","27.370","27.658","26.692","29.263","29.980","29.430","25.353","26.397","27.277","24.775","24.501","22.805","24.019","22.214","21.244"
"IMF.RES:WEO(9.0.0)","NPL.GGX_NGDP.A","OBS_VALUE","Nepal","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","11.432","12.903","12.993","11.957","11.799","12.049","11.169","13.105","13.391","16.981","16.454","16.345","16.768","15.496","16.583","17.670","18.961","23.635","27.999","27.139","28.491","27.248","26.057","25.081"
"IMF.RES:WEO(9.0.0)","PAK.NID_NGDP.A","OBS_VALUE","Pakistan","Gross capital formation, Percent of GDP","Annual","Units","16.877","17.279","16.294","15.973","14.122","16.311","15.997","14.962","15.315","15.651","16.266","18.282","17.536","17.996","17.578","15.962","14.632","15.169","14.982","14.908","15.811","15.936","16.333","17.068","15.500","14.816","14.535","15.561","13.968"
"IMF.RES:WEO(9.0.0)","PLW.BCA_NGDPD.A","OBS_VALUE","Palau, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-50.632","-32.645","-30.054","-27.593","-34.774","-27.015","-28.184","-21.269","-23.078","-13.719","-12.196","-16.871","-19.389","-18.000","-22.796","-13.397","-16.097","-22.851","-18.636","-30.430","-43.808","-43.758","-49.164","-48.908"
"IMF.RES:WEO(9.0.0)","MDV.GGX_NGDP.A","OBS_VALUE","Maldives","Expenditure, General government, Percent of GDP","Annual","Units","31.324","27.277","25.222","25.903","28.023","29.045","29.649","29.576","26.375","24.065","38.784","35.046","34.812","35.569","36.990","33.193","31.260","29.767","26.991","29.084","33.789","37.340","30.357","31.886","32.919","50.352","40.630","41.985","46.672"
"IMF.RES:WEO(9.0.0)","PLW.GGXCNL_NGDP.A","OBS_VALUE","Palau, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","-13.426","-16.684","-12.699","-3.184","-4.816","1.382","0.143","-2.078","-1.706","-2.136","-1.274","1.287","0.983","0.545","3.593","5.079","3.515","4.756","6.185","-0.360","-13.022","-9.940","-3.990","0.730"
