"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","GBR.PCPIPCH.A","OBS_VALUE","United Kingdom","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.630","2.425","1.825","1.557","1.329","0.796","1.234","1.259","1.362","1.344","2.057","2.329","2.323","3.602","2.165","3.298","4.464","2.828","2.565","1.461","0.040","0.660","2.683","2.478","1.791","0.851","2.588","9.067","7.303"
"IMF.RES:WEO(9.0.0)","GBR.GGXWDG_NGDP.A","OBS_VALUE","United Kingdom","Gross debt, General government, Percent of GDP","Annual","Units","43.653","43.714","44.132","41.970","40.410","37.686","34.958","35.434","36.764","39.802","41.000","42.058","43.174","50.827","64.915","75.860","81.425","84.483","85.316","87.094","87.867","87.825","86.723","86.345","85.657","105.840","105.131","99.614","100.354"
"IMF.RES:WEO(9.0.0)","USA.NGDP_RPCH.A","OBS_VALUE","United States","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.685","3.773","4.447","4.483","4.788","4.078","0.956","1.700","2.796","3.848","3.483","2.785","2.004","0.114","-2.576","2.695","1.564","2.289","2.118","2.524","2.946","1.820","2.458","2.967","2.584","-2.081","6.152","2.524","2.935"
"IMF.RES:WEO(9.0.0)","GBR.TM_RPCH.A","OBS_VALUE","United Kingdom","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","5.328","9.198","9.836","7.463","7.400","9.416","6.197","4.738","1.642","6.733","7.048","10.575","-1.395","-0.990","-7.015","8.973","2.933","2.462","3.239","5.095","4.955","3.980","3.163","3.097","2.720","-15.885","5.810","12.983","-1.231"
"IMF.RES:WEO(9.0.0)","DNK.GGX_NGDP.A","OBS_VALUE","Denmark","Expenditure, General government, Percent of GDP","Annual","Units","58.745","58.204","56.178","55.602","54.667","52.869","52.997","53.098","53.501","52.790","51.055","49.711","49.455","50.283","56.329","56.515","56.290","57.906","55.580","55.102","54.418","52.352","50.601","50.754","49.807","53.340","49.706","45.089","47.398"
"IMF.RES:WEO(9.0.0)","DEU.PCPIPCH.A","OBS_VALUE","Germany","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.733","1.274","1.507","0.596","0.647","1.413","1.900","1.326","1.074","1.780","1.928","1.775","2.271","2.754","0.246","1.119","2.482","2.159","1.607","0.769","0.680","0.367","1.702","1.935","1.354","0.371","3.212","8.666","6.030"
"IMF.RES:WEO(9.0.0)","SMR.BCA_NGDPD.A","OBS_VALUE","San Marino, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","-0.391","-1.887","2.034","2.782","5.396","13.596","21.993"
"IMF.RES:WEO(9.0.0)","FRA.TM_RPCH.A","OBS_VALUE","France","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","7.518","2.146","7.729","12.150","6.181","15.645","2.045","2.537","0.672","5.138","6.533","6.357","5.274","1.083","-8.811","8.127","6.110","0.433","3.049","4.232","5.641","3.649","4.776","3.038","2.076","-12.543","8.051","9.252","0.060"
"IMF.RES:WEO(9.0.0)","DEU.BCA_NGDPD.A","OBS_VALUE","Germany","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.069","-0.485","-0.344","-0.498","-1.157","-1.524","-0.173","1.954","1.499","4.514","4.651","5.810","6.672","5.601","5.806","5.744","6.292","7.190","6.710","7.235","8.101","8.909","8.062","8.421","7.873","6.318","6.909","3.811","5.517"
"IMF.RES:WEO(9.0.0)","DEU.LUR.A","OBS_VALUE","Germany","Unemployment rate","Annual","Units","8.233","8.908","9.658","9.383","8.558","7.950","7.800","8.600","9.708","10.333","11.008","10.042","8.542","7.425","7.342","6.575","5.525","5.083","4.942","4.708","4.358","3.900","3.525","3.192","2.950","3.625","3.600","3.142","3.083"
"IMF.RES:WEO(9.0.0)","AUT.LUR.A","OBS_VALUE","Austria","Unemployment rate","Annual","Units","4.242","4.717","4.758","4.708","4.142","3.883","4.008","4.392","4.792","5.875","6.025","5.600","5.192","4.425","5.692","5.208","4.875","5.242","5.350","6.050","6.158","6.467","5.942","5.217","4.825","5.475","6.175","4.742","5.100"
"IMF.RES:WEO(9.0.0)","AUT.GGR_NGDP.A","OBS_VALUE","Austria","Revenue, General government, Percent of GDP","Annual","Units","49.954","51.554","50.155","51.667","47.871","48.865","51.103","50.186","49.924","49.375","49.084","48.312","48.159","48.833","49.217","48.892","48.859","49.577","50.435","50.473","50.739","49.188","49.045","49.388","49.610","49.108","50.333","49.704","50.071"
"IMF.RES:WEO(9.0.0)","BEL.LUR.A","OBS_VALUE","Belgium","Unemployment rate","Annual","Units","9.683","9.550","9.217","9.342","8.425","6.858","6.567","7.525","8.175","8.383","8.475","8.267","7.492","6.967","7.992","8.383","7.217","7.642","8.567","8.658","8.667","7.842","7.100","5.975","5.367","5.558","6.275","5.550","5.517"
