COUNTRY,YEAR,RF_Forecast,RF_Lower_95,RF_Upper_95,RF_CI_Width,XGB_Forecast,XGB_Lower_95,XGB_Upper_95,XGB_CI_Width,Ensemble_Forecast,Ensemble_Lower_95,Ensemble_Upper_95
Burkina Faso,2024,4.00653952249658,0.7067280555555556,7.9165761574074045,7.209848101851849,3.5398948,3.5398945808410645,3.5398945808410645,0.0,3.773217170878112,2.12331131819831,5.728235369124235
Burkina Faso,2025,3.819475085822444,1.572805,5.964536616161613,4.391731616161613,3.8934624,3.8934595584869385,3.8934595584869385,0.0,3.856468752666166,2.733132279243469,4.928998087324276
Burkina Faso,2026,4.803204374697273,1.1977058088235295,7.636357500000001,6.438651691176471,4.2601104,4.260116100311279,4.260116100311279,0.0,4.531657376481327,2.7289109545674046,5.94823680015564
Burundi,2024,3.6265042291258296,-1.3539616545893718,7.4838334541062785,8.83779510869565,3.4182022,3.4182000160217285,3.4182000160217285,0.0,3.5223531954573852,1.0321191807161783,5.4510167350640035
Burundi,2025,4.250586353048309,0.26537774999999997,8.637570980392155,8.372193230392154,3.9864814,3.9864842891693115,3.9864842891693115,0.0,4.118533890597336,2.1259310195846557,6.312027634780733
Burundi,2026,4.991608295766838,1.3852828124999998,8.632424747474742,7.247141934974742,4.516564,4.5165605545043945,4.5165605545043945,0.0,4.75408609406567,2.950921683502197,6.574492650989568
Cabo Verde,2024,5.996508583345062,-0.7215595000000002,10.704723883928573,11.426283383928572,6.3390307,6.339029312133789,6.339029312133789,0.0,6.167769662995163,2.8087349060668942,8.52187659803118
Cabo Verde,2025,6.50347475894806,2.0305751879699248,9.780450833333328,7.749875645363403,6.0524287,6.052426338195801,6.052426338195801,0.0,6.277951740664825,4.041500763082863,7.916438585764564
Cabo Verde,2026,5.384089066445436,1.6396227272727275,9.085086666666662,7.445463939393934,5.0418468,5.04185152053833,5.04185152053833,0.0,5.2129679093060926,3.340737123905529,7.063469093602496
Cambodia,2024,4.382627911341878,0.11371750000000008,7.273004166666664,7.159286666666664,4.097513,4.097517967224121,4.097517967224121,0.0,4.240070555097208,2.1056177336120605,5.685261066945392
